Axis (deg),       I (cts)
34.619,267
34.624,260
34.629,252
34.634,252
34.639,310
34.644,303
34.649,298
34.654,322
34.659,279
34.664,316
34.669,334
34.674,353
34.679,352
34.684,346
34.689,322
34.694,367
34.699,429
34.704,348
34.709,388
34.714,408
34.719,432
34.724,465
34.729,440
34.734,508
34.739,465
34.744,552
34.749,543
34.754,506
34.759,567
34.764,619
34.769,620
34.774,617
34.779,716
34.784,682
34.789,707
34.794,749
34.799,773
34.804,789
34.809,844
34.814,876
34.819,944
34.824,999
34.829,1020
34.834,1141
34.839,1100
34.844,1163
34.849,1241
34.854,1368
34.859,1430
34.864,1484
34.869,1584
34.874,1703
34.879,1798
34.884,1906
34.889,2147
34.894,2208
34.899,2435
34.904,2456
34.909,2804
34.914,2999
34.919,3216
34.924,3438
34.929,3899
34.934,4225
34.939,4656
34.944,5158
34.949,5710
34.954,6517
34.959,7192
34.964,8540
34.969,9655
35.109,9812
35.114,8299
35.119,7378
35.124,6796
35.129,5649
35.134,5368
35.139,4702
35.144,4119
35.149,4023
35.154,3578
35.159,3496
35.164,2991
35.169,2856
35.174,2526
35.179,2335
35.184,2264
35.189,2061
35.194,1960
35.199,1768
35.204,1753
35.209,1622
35.214,1527
35.219,1479
35.224,1353
35.229,1270
35.234,1231
35.239,1119
35.244,1071
35.249,1080
35.254,973
35.259,956
35.264,940
35.269,853
35.274,863
35.279,763
35.284,695
35.289,738
35.294,699
35.299,658
35.304,576
35.309,656
35.314,569
35.319,573
35.324,528
35.329,551
35.334,523
35.339,488
35.344,480
35.349,446
35.354,457
35.359,447
35.364,432
35.369,435
35.374,402
35.379,417
35.384,385
35.389,363
35.394,354
35.399,347
35.404,338
35.409,309
35.414,315
35.419,318
35.424,303
35.429,301
35.434,291
35.439,274
35.444,273
35.449,266
35.454,247
35.459,231
35.464,221
